"ID","Question de Recherche","But"
"QR1","Quel est l’état de la recherche et le développement sur la recyclabilité de matière première dans le contexte de la fabrication additive?","Faire un état de lieux sur recherches actuelles pour la réutilisation des matériaux, la technologie et les protocoles afin d’évaluer la qualité de la matière recyclé."
"QR2", "Quel sont les développement sur le recyclage de polymères afin d’être utilisées dans a FA open-source","Identifier les avancées majeures sur réutilisation polymères dans le contexte de la FA open-source."
